Date,Adj Close,Open,High,Low,Close,Volume
2006-12-13,31032.68,31699.64,31699.64,31699.64,31699.64,1053997
2006-12-14,32584.31,33284.63,33284.63,33284.63,33284.63,3542106
2006-12-15,34213.52,34948.86,34948.86,34948.86,34948.86,3347647
2006-12-18,35920.32,36692.34,36692.34,36692.34,36692.34,2722912
2006-12-19,37704.7,38515.07,38515.07,38515.07,38515.07,1735265
2006-12-20,39566.66,40417.05,40417.05,40417.05,40417.05,2777550
2006-12-21,37627.12,39703.8,38435.82,38435.82,38435.82,1973499
2006-12-22,35765.16,36533.84,36533.84,36533.84,36533.84,1810732
2006-12-25,33980.78,34711.11,34711.11,34711.11,34711.11,279353
2006-12-26,35610.0,33046.88,36375.34,36375.34,36375.34,3787400
2006-12-27,37239.21,38039.57,38039.57,38039.57,38039.57,5214291
2006-12-28,37239.21,37247.08,38039.57,38039.57,38039.57,1827636
2006-12-29,35687.58,36850.84,36454.59,36454.59,36454.59,880241
2007-01-02,34135.95,35662.1,34869.61,34869.61,34869.61,1024209
2007-01-03,34911.76,34869.61,35662.1,35662.1,35662.1,942071
2007-01-04,36618.56,37405.58,37405.58,37405.58,37405.58,1873944
2007-01-05,38402.94,39228.31,39228.31,39228.31,39228.31,4767224
2007-01-08,38015.03,40417.05,38832.07,38832.07,38832.07,4434979
2007-01-09,38015.03,39228.31,38832.07,38832.07,38832.07,2842529
2007-01-10,38402.94,38832.07,39228.31,39228.31,39228.31,3965322
2007-01-11,38790.84,39624.55,39624.55,39624.55,39624.55,3582609
2007-01-12,40730.39,41605.79,41605.79,41605.79,41605.79,3529483
2007-01-15,42747.51,42398.28,43666.26,43666.26,43666.26,3461090
2007-01-16,44842.21,45805.99,45805.99,45805.99,45805.99,4287219
2007-01-17,42669.93,47470.22,43587.01,43587.01,43587.01,1840634
2007-01-18,42747.51,41447.29,43666.26,43666.26,43666.26,3563809
2007-01-19,44842.21,45805.99,45805.99,45805.99,45805.99,1202392
2007-01-22,46549.02,48024.96,47549.47,47549.47,47549.47,5825032
2007-01-23,46704.18,47549.47,47707.96,47707.96,47707.96,3078755
2007-01-24,44997.38,47707.96,45964.48,45964.48,45964.48,1973755
2007-01-25,44997.38,45964.48,45964.48,45964.48,45964.48,1797097
2007-01-26,44997.38,45172.0,45964.48,45964.48,45964.48,1630786
2007-01-29,46936.93,46360.73,47945.71,47945.71,47945.71,2540193
2007-01-30,48876.46,49926.94,49926.94,49926.94,49926.94,4093659
2007-01-31,50040.19,50560.93,51115.68,51115.68,51115.68,3915862
2007-02-01,48100.65,51274.18,49134.45,49134.45,49134.45,1449961
2007-02-02,48876.46,49926.94,49926.94,49926.94,49926.94,1002761
2007-02-05,46471.43,49134.45,47470.22,47470.22,47470.22,1393560
2007-02-06,48488.55,46756.98,49530.7,49530.7,49530.7,2467389
2007-02-07,49264.38,48024.96,50323.19,50323.19,50323.19,1469645
2007-02-08,46859.34,47866.46,47866.46,47866.46,47866.46,1310785
2007-02-09,44531.89,45488.99,45488.99,45488.99,45488.99,2452750
2007-02-12,46704.18,47707.96,47707.96,47707.96,47707.96,763271
2007-02-13,48876.46,50085.44,49926.94,49926.94,49926.94,2026499
2007-02-14,47324.83,49134.45,48341.96,48341.96,48341.96,1007052
2007-02-15,47324.83,48341.96,48341.96,48341.96,48341.96,753556
2007-02-26,49652.29,50719.43,50719.43,50719.43,50719.43,2918750
2007-02-27,51591.82,53255.4,52700.66,52700.66,52700.66,3655288
2007-02-28,49031.63,52700.66,50085.44,50085.44,50085.44,877714
2007-03-01,47712.74,49926.94,48738.2,48738.2,48738.2,1247313
2007-03-02,50040.19,49689.2,51115.68,51115.68,51115.68,2062080
2007-03-05,49264.38,51115.68,50323.19,50323.19,50323.19,1579424
2007-03-06,46859.34,47945.71,47866.46,47866.46,47866.46,2534770
2007-03-07,47324.83,49530.7,48341.96,48341.96,48341.96,554930
2007-03-08,46549.02,47945.71,47549.47,47549.47,47549.47,1077464
